post_id,platform,post_type,post_date,post_time,likes,comments,shares,post_day,sentiment_score
1,Facebook,image,8/17/23,2:45:00,2121,474,628,Thursday,positive
2,Facebook,carousel,5/14/23,12:45:00,3660,432,694,Sunday,neutral
3,Instagram,poll,2/21/23,4:15:00,4955,408,688,Tuesday,negative
4,Twitter,image,11/16/23,12:45:00,1183,90,187,Thursday,negative
5,Twitter,video,5/23/23,12:30:00,3499,247,286,Tuesday,positive
6,Instagram,carousel,5/5/23,8:00:00,256,186,211,Friday,neutral
7,Instagram,image,2/26/23,11:45:00,1982,30,906,Sunday,positive
8,Instagram,text,10/28/23,7:30:00,1274,45,216,Saturday,neutral
9,Facebook,video,5/2/23,6:15:00,317,249,221,Tuesday,neutral
10,Twitter,carousel,5/11/23,11:00:00,1878,225,438,Thursday,neutral
11,Twitter,text,12/8/23,2:15:00,1446,44,52,Friday,negative
12,Twitter,video,6/15/23,3:15:00,304,42,89,Thursday,positive
13,Facebook,carousel,11/11/23,3:45:00,45,78,375,Saturday,negative
14,Twitter,text,9/30/23,10:30:00,1333,144,123,Saturday,positive
15,Facebook,carousel,1/9/23,8:00:00,889,314,262,Monday,positive
16,Twitter,image,2/10/23,1:00:00,2348,154,18,Friday,neutral
17,Instagram,poll,7/5/23,5:15:00,2872,10,736,Wednesday,positive
18,Twitter,text,7/23/23,5:45:00,512,123,338,Sunday,neutral
19,Twitter,text,11/20/23,2:00:00,2013,122,183,Monday,positive
20,Facebook,image,2/2/23,4:00:00,455,86,79,Thursday,positive
21,Twitter,poll,5/2/23,6:15:00,559,136,55,Tuesday,neutral
22,Twitter,carousel,1/30/23,1:30:00,1961,44,439,Monday,positive
23,Twitter,text,10/2/23,12:15:00,332,109,348,Monday,positive
24,Instagram,carousel,1/1/23,8:00:00,5000,80,399,Sunday,positive
25,Twitter,poll,5/17/23,12:15:00,898,130,480,Wednesday,positive
26,Facebook,carousel,10/5/23,6:30:00,1992,70,515,Thursday,negative
27,Instagram,text,10/6/23,10:00:00,3161,162,137,Friday,positive
28,Facebook,poll,3/1/23,8:00:00,2083,500,388,Wednesday,neutral
29,Facebook,image,1/7/23,10:30:00,548,153,731,Saturday,negative
30,Facebook,carousel,2/3/23,12:30:00,4594,216,739,Friday,positive
31,Facebook,poll,9/10/23,1:45:00,4795,449,978,Sunday,negative
32,Instagram,image,7/1/23,2:45:00,4665,202,183,Saturday,positive
33,Twitter,video,9/27/23,7:00:00,119,147,240,Wednesday,positive
34,Twitter,poll,2/9/23,3:30:00,2253,162,28,Thursday,positive
35,Instagram,image,6/6/23,7:30:00,1309,201,852,Tuesday,negative
36,Facebook,video,4/8/23,7:15:00,5000,500,43,Saturday,positive
37,Facebook,video,5/11/23,12:30:00,4245,59,83,Thursday,neutral
38,Twitter,poll,5/2/23,12:30:00,2463,187,445,Tuesday,positive
39,Facebook,video,1/1/23,6:00:00,5000,430,980,Sunday,neutral
40,Instagram,carousel,8/4/23,12:45:00,447,333,845,Friday,negative
41,Twitter,carousel,12/27/23,11:30:00,667,176,461,Wednesday,positive
42,Instagram,video,11/23/23,2:00:00,4929,252,730,Thursday,negative
43,Twitter,carousel,3/31/23,4:00:00,2586,97,85,Friday,positive
44,Instagram,text,7/6/23,8:00:00,3259,50,177,Thursday,negative
45,Twitter,video,12/1/23,10:00:00,2236,132,118,Friday,positive
46,Instagram,text,5/16/23,10:15:00,2251,380,427,Tuesday,positive
47,Facebook,poll,8/8/23,5:45:00,4726,44,993,Tuesday,negative
48,Facebook,video,3/22/23,3:15:00,5000,232,16,Wednesday,negative
49,Twitter,image,4/17/23,3:00:00,725,169,298,Monday,neutral
50,Instagram,text,7/12/23,12:00:00,1551,206,127,Wednesday,negative
51,Twitter,text,2/14/23,6:00:00,1268,73,251,Tuesday,positive
52,Twitter,image,7/14/23,3:00:00,950,113,327,Friday,positive
53,Twitter,video,11/12/23,5:30:00,1498,46,96,Sunday,positive
54,Instagram,image,1/21/23,1:00:00,4297,360,825,Saturday,negative
55,Twitter,carousel,10/2/23,11:30:00,592,34,496,Monday,neutral
56,Instagram,image,3/13/23,11:15:00,3401,190,230,Monday,negative
57,Instagram,video,7/13/23,9:15:00,4846,134,498,Thursday,neutral
58,Facebook,video,12/27/23,4:00:00,2204,116,728,Wednesday,neutral
59,Twitter,video,12/24/23,7:45:00,344,99,194,Sunday,neutral
60,Instagram,carousel,5/19/23,4:30:00,4763,332,956,Friday,positive
61,Instagram,video,12/31/23,10:30:00,3544,167,761,Sunday,negative
62,Facebook,carousel,1/27/23,3:45:00,3742,227,849,Friday,negative
63,Twitter,image,5/15/23,6:30:00,227,163,127,Monday,neutral
64,Instagram,carousel,4/19/23,7:45:00,130,452,724,Wednesday,neutral
65,Instagram,image,9/20/23,6:00:00,3982,314,326,Wednesday,positive
66,Facebook,text,1/3/23,3:00:00,2265,39,318,Tuesday,positive
67,Facebook,carousel,4/23/23,8:15:00,2026,390,165,Sunday,negative
68,Instagram,video,12/28/23,4:45:00,560,486,677,Thursday,negative
69,Twitter,image,10/14/23,6:45:00,187,89,284,Saturday,neutral
70,Facebook,text,6/12/23,9:30:00,3094,86,965,Monday,negative
71,Instagram,video,4/10/23,12:00:00,3398,261,630,Monday,neutral
72,Facebook,carousel,5/5/23,4:45:00,1690,257,656,Friday,neutral
73,Facebook,text,7/18/23,10:00:00,3026,11,761,Tuesday,positive
74,Instagram,video,4/14/23,10:30:00,5000,454,744,Friday,positive
75,Facebook,video,7/26/23,8:15:00,5000,500,404,Wednesday,positive
76,Instagram,text,7/27/23,7:15:00,2153,81,114,Thursday,neutral
77,Twitter,carousel,7/5/23,6:15:00,3571,102,96,Wednesday,positive
78,Instagram,poll,1/19/23,7:15:00,2990,30,365,Thursday,positive
79,Instagram,carousel,12/13/23,4:45:00,4678,189,785,Wednesday,positive
80,Facebook,text,6/25/23,3:15:00,553,320,312,Sunday,positive
81,Facebook,video,1/4/23,6:30:00,2642,33,413,Wednesday,neutral
82,Instagram,carousel,11/19/23,12:30:00,4656,314,757,Sunday,negative
83,Instagram,video,12/6/23,4:00:00,5000,173,792,Wednesday,negative
84,Facebook,carousel,10/3/23,7:00:00,1203,263,417,Tuesday,negative
85,Facebook,text,7/6/23,7:00:00,2566,368,304,Thursday,neutral
86,Twitter,text,11/25/23,7:30:00,2416,50,62,Saturday,positive
